ダウンロードした時刻：2018/06/07 20:55:29

,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
1991/12/23,9.8,8,1,71,8,1
1991/12/24,11.6,8,1,75,8,1
1991/12/25,7.5,8,1,85,8,1
1991/12/26,2.9,8,1,87,8,1
1991/12/27,2.2,8,1,86,8,1
1991/12/28,6.2,8,1,76,8,1
1991/12/29,5.2,8,1,39,8,1
1991/12/30,4.5,8,1,34,8,1
1991/12/31,5.7,8,1,43,8,1
1992/12/1,11.3,8,1,81,8,1
1992/12/2,13.0,8,1,64,8,1
1992/12/3,9.3,8,1,54,8,1
1992/12/4,9.7,8,1,57,8,1
1992/12/5,8.3,8,1,54,8,1
1992/12/6,7.7,8,1,67,8,1
1992/12/7,12.1,8,1,77,8,1
1992/12/8,17.2,8,1,73,8,1
1992/12/9,13.3,8,1,62,8,1
1992/12/10,13.6,8,1,71,8,1
1992/12/11,12.6,8,1,51,8,1
1992/12/12,8.3,8,1,46,8,1
1992/12/13,10.3,8,1,59,8,1
1992/12/14,11.3,8,1,38,8,1
1992/12/15,6.2,8,1,37,8,1
1992/12/16,6.2,8,1,50,8,1
1992/12/17,6.5,8,1,57,8,1
1992/12/18,6.7,8,1,46,8,1
1992/12/19,6.3,8,1,43,8,1
1992/12/20,7.3,8,1,58,8,1
1992/12/21,9.1,8,1,65,8,1
1992/12/22,10.0,8,1,70,8,1
1992/12/23,9.2,8,1,56,8,1
1992/12/24,5.2,8,1,40,8,1
1992/12/25,5.1,8,1,34,8,1
1992/12/26,6.1,8,1,44,8,1
1992/12/27,7.8,8,1,60,8,1
1992/12/28,9.4,8,1,69,8,1
1992/12/29,9.7,8,1,69,8,1
1992/12/30,8.0,8,1,65,8,1
1992/12/31,7.1,8,1,47,8,1
1993/12/1,15.9,8,1,72,8,1
1993/12/2,13.5,8,1,64,8,1
1993/12/3,16.2,8,1,67,8,1
1993/12/4,11.9,8,1,76,8,1
1993/12/5,9.5,8,1,46,8,1
1993/12/6,5.8,8,1,80,8,1
1993/12/7,7.6,8,1,68,8,1
1993/12/8,6.2,8,1,83,8,1
1993/12/9,9.2,8,1,59,8,1
1993/12/10,8.6,8,1,66,8,1
1993/12/11,9.7,8,1,63,8,1
1993/12/12,9.3,8,1,44,8,1
1993/12/13,10.3,8,1,56,8,1
1993/12/14,8.6,8,1,75,8,1
1993/12/15,5.9,8,1,42,8,1
1993/12/16,4.9,8,1,53,8,1
1993/12/17,6.5,8,1,57,8,1
1993/12/18,6.3,8,1,34,8,1
1993/12/19,5.0,8,1,53,8,1
1993/12/20,5.7,8,1,74,8,1
1993/12/21,9.8,8,1,74,8,1
1993/12/22,7.2,8,1,43,8,1
1993/12/23,4.4,8,1,39,8,1
1993/12/24,7.3,8,1,53,8,1
1993/12/25,8.1,8,1,61,8,1
1993/12/26,9.5,8,1,68,8,1
1993/12/27,10.5,8,1,54,8,1
1993/12/28,7.8,8,1,40,8,1
1993/12/29,6.5,8,1,43,8,1
1993/12/30,5.9,8,1,55,8,1
1993/12/31,10.7,8,1,65,8,1
1994/12/1,11.0,8,1,65,8,1
1994/12/2,12.6,8,1,82,8,1
1994/12/3,12.9,8,1,49,8,1
1994/12/4,10.7,8,1,45,8,1
1994/12/5,10.8,8,1,51,8,1
1994/12/6,9.4,8,1,41,8,1
1994/12/7,11.1,8,1,52,8,1
1994/12/8,12.2,8,1,48,8,1
1994/12/9,14.8,8,1,68,8,1
1994/12/10,10.8,8,1,32,8,1
1994/12/11,6.0,8,1,68,8,1
1994/12/12,10.3,8,1,85,8,1
1994/12/13,10.6,8,1,85,8,1
1994/12/14,8.8,8,1,62,8,1
1994/12/15,11.1,8,1,52,8,1
1994/12/16,6.0,8,1,36,8,1
1994/12/17,4.2,8,1,39,8,1
1994/12/18,5.4,8,1,51,8,1
1994/12/19,4.3,8,1,43,8,1
1994/12/20,2.7,8,1,61,8,1
1994/12/21,5.8,8,1,61,8,1
1994/12/22,6.9,8,1,60,8,1
1994/12/23,7.7,8,1,70,8,1
1994/12/24,8.8,8,1,63,8,1
1994/12/25,9.5,8,1,53,8,1
1994/12/26,6.4,8,1,62,8,1
1994/12/27,9.3,8,1,81,8,1
1994/12/28,9.1,8,1,76,8,1
1994/12/29,7.8,8,1,46,8,1
1994/12/30,5.8,8,1,47,8,1
1994/12/31,6.0,8,1,59,8,1
1995/12/1,9.8,8,1,36,8,1
1995/12/2,10.2,8,1,41,8,1
1995/12/3,10.2,8,1,42,8,1
1995/12/4,10.2,8,1,52,8,1
1995/12/5,9.5,8,1,53,8,1
1995/12/6,8.8,8,1,42,8,1
1995/12/7,9.1,8,1,36,8,1
1995/12/8,7.4,8,1,39,8,1
1995/12/9,6.3,8,1,41,8,1
1995/12/10,6.3,8,1,55,8,1
1995/12/11,8.4,8,1,60,8,1
1995/12/12,9.2,8,1,58,8,1
1995/12/13,9.4,8,1,36,8,1
1995/12/14,9.1,8,1,55,8,1
